customer,recency,frequency,monetary,R,F,M,RFM Score
Adrien Witting,28,1,42,3,1,2,312
Adriene Becker,12,2,79,4,4,4,444
Adriene Schmitt,3,1,53,5,1,2,512
Aedan Graham,6,5,218,5,5,5,555
Afton Rath PhD,15,1,33,4,1,1,411
Afton Schulist,16,4,179,4,5,5,455
Agatha Beier,42,1,77,3,1,4,314
Agatha Connelly,59,5,210,2,5,5,255
Agatha Kilback DVM,19,2,154,4,4,5,445
Agatha Klocko,34,1,25,3,1,1,311
Aggie Feil,18,1,71,4,1,3,413
Aggie Harris,72,1,40,1,1,2,112
Agnes Anderson DVM,1,6,296,5,5,5,555
Agness Barton,85,1,73,1,1,3,113
Agness Hane,67,1,26,2,1,1,211
Agness O'Keefe,46,1,44,2,1,2,212
Agness Pouros,90,1,38,1,1,1,111
Agusta Gislason DDS,86,1,67,1,1,3,113
Agusta Wiegand,56,1,33,2,1,1,211
Agustin Larson,87,1,75,1,1,3,113
Agustin Marks,79,1,58,1,1,2,112
Agustus Kohler,20,1,51,4,1,2,412
Ah Hahn DVM,12,2,76,4,4,4,444
Ahmad Cremin,40,1,56,3,1,2,312
Ahmad Moen,12,2,64,4,4,3,443
Ahmad Roob,56,1,78,2,1,4,214
Ahmed Armstrong,42,1,53,3,1,2,312
Ahmed Becker,47,1,55,2,1,2,212
Ahmed Howe,50,1,37,2,1,1,211
Ahmed Leffler,88,2,69,1,4,3,143
Aidan Harris,83,1,56,1,1,2,112
Aidan King,89,1,52,1,1,2,112
Aidan Stokes,90,1,54,1,1,2,112
Aiden Bode,40,5,294,3,5,5,355
Aiden Windler,68,1,21,1,1,1,111
Aiden Wolf I,38,2,126,3,4,5,345
Aidyn Champlin,83,1,32,1,1,1,111
Aidyn McDermott,20,1,52,4,1,2,412
Aidyn Runolfsdottir,46,1,24,2,1,1,211
Aileen Barton,80,1,21,1,1,1,111
Aileen Schuppe,86,1,33,1,1,1,111
Ailene Hermann,10,3,188,5,5,5,555
Ailene Kerluke,5,7,354,5,5,5,555
Ailene Wiegand MD,76,1,40,1,1,2,112
Aime Kihn,47,1,23,2,1,1,211
Aime Smith,14,1,65,4,1,3,413
Ainsley Haag MD,3,17,906,5,5,5,555
Ainsley Jacobs,2,3,175,5,5,5,555
Ainsley Schmitt,7,1,69,5,1,3,513
Aisha Mann,30,1,71,3,1,3,313
Aiyanna Bruen PhD,12,1,47,4,1,2,412
Aiyanna Casper DDS,14,1,67,4,1,3,413
Aiyanna DuBuque,18,1,27,4,1,1,411
Aja Bins DVM,5,1,73,5,1,3,513
Aja Harber,30,3,140,3,5,5,355
Aja Veum,31,3,187,3,5,5,355
Akeem Champlin,48,1,78,2,1,4,214
Akeem Lubowitz,29,1,46,3,1,2,312
Akira Trantow DDS,52,2,62,2,4,3,243
Al Lockman,63,1,71,2,1,3,213
Al Nader II,57,1,55,2,1,2,212
Al Williamson,35,5,288,3,5,5,355
Ala Halvorson,47,1,68,2,1,3,213
Ala Schmidt DDS,3,3,138,5,5,5,555
Alabama Abbott,32,1,23,3,1,1,311
Alabama Kessler PhD,72,1,43,1,1,2,112
Alan Block,6,6,305,5,5,5,555
Alan Considine,18,1,68,4,1,3,413
Alana Auer,6,1,31,5,1,1,511
Alana Champlin,6,2,122,5,4,4,544
Alani Beier,40,1,77,3,1,4,314
Alani Lindgren,7,4,251,5,5,5,555
Alani Powlowski,33,2,110,3,4,4,344
Alanna Kuhlman MD,19,2,78,4,4,4,444
Alannah Borer,7,6,302,5,5,5,555
Alannah Howe,46,1,51,2,1,2,212
Alannah Murray DDS,31,2,64,3,4,3,343
Alannah Steuber,47,1,59,2,1,3,213
Alayna Collins,3,2,133,5,4,5,545
Alayna Kutch,6,1,41,5,1,2,512
Alayna Rohan,3,5,156,5,5,5,555
Albert Franecki,54,1,24,2,1,1,211
Albert Kozey,23,1,36,4,1,1,411
Albert Ondricka,47,2,111,2,4,4,244
Albertha Aufderhar,52,1,49,2,1,2,212
Albertina Cole,17,1,43,4,1,2,412
Albertina Lubowitz,43,3,124,3,5,5,355
Albertina Ruecker MD,15,2,90,4,4,4,444
Albertine Armstrong,14,1,27,4,1,1,411
Albertine Nienow,39,3,98,3,5,4,354
Albertine Rogahn PhD,88,1,53,1,1,2,112
Alberto Mayert,60,1,48,2,1,2,212
Albertus Fisher,39,1,59,3,1,3,313
Albertus Hagenes,19,3,113,4,5,4,454
Albertus Hintz,83,1,42,1,1,2,112
Albin Feil,8,6,313,5,5,5,555
Albin Marks,67,2,122,2,4,4,244
Albina Batz,47,1,41,2,1,2,212
Albina Klocko,40,2,109,3,4,4,344
Albion Balistreri,72,2,113,1,4,4,144
Albion Bashirian MD,85,1,52,1,1,2,112
Albion Grady Jr.,44,1,52,3,1,2,312
Alcee Kessler,39,1,43,3,1,2,312
Alcee Reichert,65,1,79,2,1,4,214
Alcee Weissnat,6,3,117,5,5,4,554
Alcide Daniel,12,2,73,4,4,3,443
Alcide Kuhic,11,2,73,4,4,3,443
Alcide Rohan,84,1,59,1,1,3,113
Alcie Farrell DDS,74,1,72,1,1,3,113
Alcie Murray,33,1,62,3,1,3,313
Alcie Will,31,2,47,3,4,2,342
Alden Homenick,3,2,103,5,4,4,544
Aldona Weissnat,21,1,66,4,1,3,413
Alease Ondricka,46,1,33,2,1,1,211
Alec O'Keefe II,42,2,126,3,4,5,345
Aleck Jacobs,4,2,103,5,4,4,544
Aleck Klein,21,2,108,4,4,4,444
Aleck Towne,10,2,114,5,4,4,544
Aleen Flatley,81,1,51,1,1,2,112
Aleena Berge,68,1,62,1,1,3,113
Aleena Ruecker,46,1,27,2,1,1,211
Alejandra Batz,41,1,64,3,1,3,313
Alejandro Rempel V,43,2,152,3,4,5,345
Alek McGlynn,36,1,40,3,1,2,312
Alena Brakus,9,2,105,5,4,4,544
Alene Quitzon,44,1,37,3,1,1,311
Alesia Gislason,46,1,72,2,1,3,213
Alessandra Heaney,48,1,56,2,1,2,212
Alessandro Mosciski,21,2,93,4,4,4,444
Alessandro Wyman,83,2,51,1,4,2,142
Aleta Weissnat,81,1,60,1,1,3,113
Aletha Weimann,4,3,158,5,5,5,555
Alethea Blanda,7,2,101,5,4,4,544
Alex Armstrong,46,2,58,2,4,2,242
Alex Bartell,68,1,61,1,1,3,113
Alex Bergnaum,51,2,94,2,4,4,244
Alex Lemke,37,1,42,3,1,2,312
Alex Steuber,3,6,300,5,5,5,555
Alexa Gulgowski DDS,33,2,120,3,4,4,344
Alexa Strosin,48,1,32,2,1,1,211
Alexander Toy,46,1,80,2,1,4,214
Alexander Welch IV,6,1,59,5,1,3,513
Alexandr Brakus,89,1,50,1,1,2,112
Alexandr Kuhlman,33,2,96,3,4,4,344
Alexandr Stanton,5,5,223,5,5,5,555
Alexandr VonRueden,72,3,117,1,5,4,154
Alexandr Walter,25,1,76,4,1,4,414
Alexandra Denesik,5,4,167,5,5,5,555
Alexandra Steuber,46,2,107,2,4,4,244
Alexandre Romaguera,53,2,103,2,4,4,244
Alexandro Bogan MD,47,1,39,2,1,1,211
Alexandro Ernser,34,1,38,3,1,1,311
Alexandro Keeling,14,5,247,4,5,5,455
Alexia Wilderman PhD,66,2,112,2,4,4,244
Alexis Cormier,47,3,152,2,5,5,255
Alexis Kessler V,72,1,45,1,1,2,112
Alexus McLaughlin,5,2,57,5,4,2,542
Alexys Okuneva,68,1,43,1,1,2,112
Alexys Zulauf,56,1,32,2,1,1,211
Alexzander Hettinger,12,2,132,4,4,5,445
Alexzander Schulist,27,2,151,3,4,5,345
Alf Lueilwitz,85,1,62,1,1,3,113
Alferd Crona,50,6,292,2,5,5,255
Alferd Hoppe,46,1,26,2,1,1,211
Alferd Ziemann,25,1,73,4,1,3,413
Alfie Sporer,47,2,133,2,4,5,245
Alfonse Corwin PhD,54,1,43,2,1,2,212
Alfonso Lynch,17,1,41,4,1,2,412
Alfonso Rippin,40,1,42,3,1,2,312
Alfonzo Jast I,12,2,126,4,4,5,445
Alfonzo Wiza,19,1,38,4,1,1,411
Alford Gibson,47,1,48,2,1,2,212
Alfred Mayer,73,1,43,1,1,2,112
Alfred Metz,20,5,247,4,5,5,455
Alfred Stanton,81,1,49,1,1,2,112
Alfreda Champlin,45,1,46,3,1,2,312
Alfreda Kreiger,1,1,37,5,1,1,511
Alger Bechtelar,11,1,62,4,1,3,413
Alger Corkery,38,3,129,3,5,5,355
Alger Hartmann,53,2,57,2,4,2,242
Alger Hayes,11,4,213,4,5,5,455
Alger Hirthe III,4,10,576,5,5,5,555
Algernon Corwin,80,1,71,1,1,3,113
Algernon Satterfield,47,1,30,2,1,1,211
Algernon Stroman IV,12,1,21,4,1,1,411
Algot Feil,20,2,119,4,4,4,444
Algot Weimann,48,1,28,2,1,1,211
Ali Prohaska,52,1,37,2,1,1,211
Alia Schiller,5,1,39,5,1,1,511
Alia Sipes,31,1,43,3,1,2,312
Alia Strosin,12,2,125,4,4,5,445
Alice Nikolaus,0,1,37,5,1,1,511
Alice Reichel,47,1,65,2,1,3,213
Alida Brekke,1,2,104,5,4,4,544
Alida Cole PhD,19,1,54,4,1,2,412
Alida Lockman,46,1,50,2,1,2,212
Alida Weissnat,29,1,75,3,1,3,313
Alida Zemlak,41,2,96,3,4,4,344
Alijah Lesch,46,1,79,2,1,4,214
Alina Keeling,83,1,24,1,1,1,111
Aline Skiles,3,4,256,5,5,5,555
Alisa Gislason DVM,80,1,58,1,1,2,112
Alisa Schimmel PhD,8,2,127,5,4,5,545
Alisha Durgan,42,2,117,3,4,4,344
Alisha Rath,71,3,147,1,5,5,155
Alison Braun,60,2,105,2,4,4,244
Alison Hansen,47,1,67,2,1,3,213
Alison McKenzie,25,1,74,4,1,3,413
Alison Yundt,65,2,120,2,4,4,244
Alissa Nicolas,65,1,48,2,1,2,212
Alissa Wisoky,4,1,64,5,1,3,513
Alisson Dach MD,40,1,48,3,1,2,312
Alisson Hermann DDS,46,1,57,2,1,2,212
Alisson Mitchell,20,1,30,4,1,1,411
Alivia Fisher,16,1,73,4,1,3,413
Alivia Kuhn MD,90,1,21,1,1,1,111
Alivia Vandervort,29,2,72,3,4,3,343
Alivia Weimann DVM,2,4,186,5,5,5,555
Aliya Prosacco DDS,45,1,57,3,1,2,312
Aliya Rosenbaum,19,1,32,4,1,1,411
Aliza Lubowitz,30,3,131,3,5,5,355
Aliza Sauer PhD,50,1,54,2,1,2,212
Aliza Zboncak MD,69,1,48,1,1,2,112
Alize Abshire,46,1,41,2,1,2,212
Alize Haag,6,1,73,5,1,3,513
Alla Wilderman DDS,12,2,111,4,4,4,444
Allean Donnelly,27,1,58,3,1,2,312
Allean McDermott,5,1,59,5,1,3,513
Allean Torphy,16,1,22,4,1,1,411
Alleen Kulas,37,3,175,3,5,5,355
Allen Fritsch,31,1,79,3,1,4,314
Allen Howell,5,2,91,5,4,4,544
Allen Zieme,24,2,103,4,4,4,444
Allena Davis,45,1,72,3,1,3,313
Allene Nitzsche,72,2,140,1,4,5,145
Allene Torp PhD,46,1,75,2,1,3,213
Allie Mosciski,42,1,44,3,1,2,312
Allison Block,75,1,76,1,1,4,114
Ally Johnston,59,1,67,2,1,3,213
Allyn Haag,24,1,21,4,1,1,411
Allyn Mraz,80,1,56,1,1,2,112
Allyn Rath,12,1,48,4,1,2,412
Allyson Barton,33,1,20,3,1,1,311
Allyssa Bergnaum,44,1,24,3,1,1,311
Almeda Yost,75,1,76,1,1,4,114
Almedia Lesch PhD,81,1,54,1,1,2,112
Almedia Yundt,11,3,172,4,5,5,455
Almer Mayert,26,1,57,4,1,2,412
Almer Sanford,5,4,225,5,5,5,555
Almeta Feest,75,1,68,1,1,3,113
Almina Becker,17,1,52,4,1,2,412
Almina Beer,49,3,185,2,5,5,255
Almira Bergnaum,5,2,113,5,4,4,544
Almira Wilkinson,4,1,24,5,1,1,511
Almon Brakus,77,1,79,1,1,4,114
Almon Cremin,19,1,51,4,1,2,412
Almond Goldner DDS,49,3,193,2,5,5,255
Almond Raynor DDS,4,3,216,5,5,5,555
Almond Torp,12,2,93,4,4,4,444
Almyra Koelpin MD,11,1,79,4,1,4,414
Almyra Okuneva,39,5,211,3,5,5,355
Alois Bode,56,1,38,2,1,1,211
Aloma Corkery MD,46,1,76,2,1,4,214
Aloma Gibson,60,1,55,2,1,2,212
Aloma Kilback,39,1,63,3,1,3,313
Alonza White,10,1,69,5,1,3,513
Alonzo Carroll,72,1,31,1,1,1,111
Alonzo Herman DDS,81,2,87,1,4,4,144
Aloys Brown,25,1,72,4,1,3,413
Aloys Reinger,21,1,22,4,1,1,411
Aloysius McDermott,10,2,91,5,4,4,544
Alpha Thiel,46,1,65,2,1,3,213
Alpheus Wilkinson,81,1,46,1,1,2,112
Alphons Grady,4,3,109,5,5,4,554
Alphons Heidenreich,46,1,68,2,1,3,213
Alphons Jones Jr.,80,1,25,1,1,1,111
Alphons Moore,19,1,45,4,1,2,412
Alphons Thompson,12,2,109,4,4,4,444
Alphonse Champlin V,3,11,493,5,5,5,555
Alphonse Hermann,2,4,206,5,5,5,555
Alphonsine Hermann,39,3,105,3,5,4,354
Alphonso Hartmann,5,3,149,5,5,5,555
Alphonso Hilll,46,1,53,2,1,2,212
Altha Bartell,40,2,67,3,4,3,343
Altha Moen,5,1,29,5,1,1,511
Althea Mills,14,2,63,4,4,3,443
Althea Stokes PhD,21,3,166,4,5,5,455
Althea Torphy,11,4,161,4,5,5,455
Alto Gerlach,87,2,65,1,4,3,143
Alto Keebler,2,7,368,5,5,5,555
Alto Kirlin,89,1,67,1,1,3,113
Alton Senger,55,1,68,2,1,3,213
Alton Wintheiser,47,1,36,2,1,1,211
Alvah Bechtelar,88,1,24,1,1,1,111
Alvah Bogisich,25,2,83,4,4,4,444
Alvah Hirthe,43,1,64,3,1,3,313
Alvan Rau,23,2,82,4,4,4,444
Alvena Cummerata DDS,11,1,59,4,1,3,413
Alver Beahan,73,1,53,1,1,2,112
Alver Larkin,72,1,78,1,1,4,114
Alvera Bailey,59,2,68,2,4,3,243
Alvera Balistreri,5,5,198,5,5,5,555
Alvera Braun,11,4,165,4,5,5,455
Alverda Gaylord,90,1,45,1,1,2,112
Alvie Herman,3,1,47,5,1,2,512
Alvie Tillman,88,1,58,1,1,2,112
Alvin Kirlin PhD,80,1,78,1,1,4,114
Alvina Gulgowski,74,1,63,1,1,3,113
Alvina Yundt,3,1,25,5,1,1,511
Alvis Kunde,53,1,29,2,1,1,211
Alvis O'Connell,4,4,129,5,5,5,555
Alvy Boehm,11,1,39,4,1,1,411
Alvy Cummerata,42,3,121,3,5,4,354
Alvy Farrell,5,1,31,5,1,1,511
Alwilda Price,84,1,51,1,1,2,112
Alwilda Swaniawski MD,5,2,83,5,4,4,544
Alwin Carroll,44,1,27,3,1,1,311
Alwin Hane,3,4,253,5,5,5,555
Alwin Schulist Sr.,53,1,23,2,1,1,211
Alwina Wilkinson DDS,17,2,95,4,4,4,444
Alyce Mertz,10,2,52,5,4,2,542
Alys Lakin,62,1,26,2,1,1,211
Alysa Crooks,81,2,140,1,4,5,145
Alysa Fahey,85,1,64,1,1,3,113
Alyse Pacocha,81,1,55,1,1,2,112
Alysia Carroll,11,2,134,4,4,5,445
Alysia Carroll PhD,10,3,196,5,5,5,555
Alyson Baumbach,38,2,103,3,4,4,344
Alyssa Feeney,43,1,48,3,1,2,312
Alyssa Jewess,41,1,41,3,1,2,312
Alyssa Reilly,20,1,80,4,1,4,414
Alyssia Fadel,74,3,80,1,5,4,154
Alyssia Hickle,33,1,73,3,1,3,313
Alyssia Konopelski,83,1,61,1,1,3,113
Alyssia Russel,28,1,73,3,1,3,313
Alyvia Hand,23,1,76,4,1,4,414
Alyvia Kihn,57,1,70,2,1,3,213
Alzina McGlynn,47,1,62,2,1,3,213
Ama Nicolas,50,1,41,2,1,2,212
Amado Hackett,8,1,62,5,1,3,513
Amalie Bruen,12,1,77,4,1,4,414
Amalie Lakin,40,1,45,3,1,2,312
Amalie O'Hara,80,1,61,1,1,3,113
Amanda Monahan,5,2,70,5,4,3,543
Amani Shanahan,6,2,93,5,4,4,544
Amani Tromp,10,3,196,5,5,5,555
Amare Bartoletti,4,3,159,5,5,5,555
Amari Abshire,19,1,66,4,1,3,413
Amari Heller,30,1,38,3,1,1,311
Amari Olson DVM,39,1,58,3,1,2,312
Amari Roob,18,2,95,4,4,4,444
Amari Stokes,5,6,278,5,5,5,555
Amarion Adams,12,2,90,4,4,4,444
Amaris Pfannerstill,37,4,160,3,5,5,355
Amaris Wehner,32,2,80,3,4,4,344
Amber Gottlieb,9,1,79,5,1,4,514
Amber Hackett,4,1,64,5,1,3,513
Amberly Armstrong,90,1,59,1,1,3,113
Amberly Donnelly DVM,45,1,71,3,1,3,313
Amberly Stoltenberg,30,2,93,3,4,4,344
Ambers Luettgen,20,1,20,4,1,1,411
Ambers Schimmel,81,2,120,1,4,4,144
Ambers Turcotte,45,1,45,3,1,2,312
Ambrose Greenfelder,12,2,100,4,4,4,444
Ambrose Kunze,12,2,118,4,4,4,444
Amelia Carroll,47,1,50,2,1,2,212
Amelia Grimes,70,1,66,1,1,3,113
Amelie Orn,81,2,107,1,4,4,144
America Zboncak,8,3,145,5,5,5,555
Ami Collier,4,1,38,5,1,1,511
Ami Fadel,51,1,74,2,1,3,213
Amiah McClure,43,1,20,3,1,1,311
Amie Bernhard,77,1,66,1,1,3,113
Amie Langosh,68,1,21,1,1,1,111
Amie Leuschke,88,1,54,1,1,2,112
Amie Wehner,67,3,194,2,5,5,255
Amie Weimann,17,3,163,4,5,5,455
Amina Hoeger,85,1,63,1,1,3,113
Amina Renner,2,2,75,5,4,3,543
Amir Dietrich,17,1,64,4,1,3,413
Amir Tillman,6,2,62,5,4,3,543
Amirah Haley,15,1,72,4,1,3,413
Amit Langworth,14,1,42,4,1,2,412
Amit Prohaska,79,4,203,1,5,5,155
Amiya Collier,47,1,59,2,1,3,213
Amiyah Nienow,23,4,259,4,5,5,455
Ammie Jerde,10,1,23,5,1,1,511
Ammon Mayert II,70,1,44,1,1,2,112
Ammon Mohr,12,2,78,4,4,4,444
Ammon Waelchi,40,2,130,3,4,5,345
Amon Dickens,86,1,41,1,1,2,112
Amon Volkman,80,1,75,1,1,3,113
Amos Homenick,12,1,68,4,1,3,413
Amparo Schmeler,0,2,120,5,4,4,544
Amya Von,72,1,56,1,1,2,112
Ana Connelly DDS,74,1,39,1,1,1,111
Anabel Jakubowski PhD,47,1,21,2,1,1,211
Anabel Weissnat,6,5,214,5,5,5,555
Anabel West,52,1,27,2,1,1,211
Anabella Hansen PhD,17,1,74,4,1,3,413
Anabella Schimmel,5,1,46,5,1,2,512
Anabella Tromp,4,1,46,5,1,2,512
Anabelle Quigley,33,1,61,3,1,3,313
Anahi Hartmann,6,1,22,5,1,1,511
Analia Gulgowski,55,1,45,2,1,2,212
Analia Upton,20,2,92,4,4,4,444
Ananias Kulas,21,1,73,4,1,3,413
Anastacia Cummings DDS,39,1,22,3,1,1,311
Anastacio Abshire MD,44,1,28,3,1,1,311
Anastacio Schinner,30,2,84,3,4,4,344
Anastacio Yundt,40,1,44,3,1,2,312
Anastasia Howe,85,1,68,1,1,3,113
Anaya D'Amore,76,1,71,1,1,3,113
Anaya Schuster,89,1,37,1,1,1,111
Ancel Bailey I,12,2,92,4,4,4,444
Anders Lesch,52,1,69,2,1,3,213
Anderson Buckridge,3,7,320,5,5,5,555
Anderson Quitzon,36,2,89,3,4,4,344
Andon Marvin,70,2,134,1,4,5,145
Andon Williamson PhD,74,1,50,1,1,2,112
Andra Bogisich,32,1,56,3,1,2,312
Andra Bosco,47,1,28,2,1,1,211
Andra Goodwin,3,1,80,5,1,4,514
Andra Kuvalis,64,1,69,2,1,3,213
Andra Wisozk II,12,3,162,4,5,5,455
Andrae Gerlach,11,2,88,4,4,4,444
Andrae Kreiger II,21,1,77,4,1,4,414
Andre Bergstrom,40,1,61,3,1,3,313
Andreas Hilll,70,1,78,1,1,4,114
Andrew Lubowitz,21,1,73,4,1,3,413
Andria Lubowitz,68,1,24,1,1,1,111
Andy Morissette,6,2,126,5,4,5,545
Andy Spinka,14,2,78,4,4,4,444
Anfernee Price I,9,1,40,5,1,2,512
Angel Bernier,60,1,35,2,1,1,211
Angel Haley,1,4,220,5,5,5,555
Angel Hermiston,0,1,45,5,1,2,512
Angel Kshlerin,47,1,70,2,1,3,213
Angel McLaughlin,50,1,61,2,1,3,213
Angele Bashirian,88,1,50,1,1,2,112
Angele Fisher,59,1,29,2,1,1,211
Angele Hackett,68,1,35,1,1,1,111
Angele Reilly,12,2,118,4,4,4,444
Angeles Gislason DVM,87,1,79,1,1,4,114
Angeles McLaughlin PhD,2,4,203,5,5,5,555
Angelia Koss,46,1,38,2,1,1,211
Angelia Stark,11,2,73,4,4,3,443
Angelic Kuhlman,81,2,113,1,4,4,144
Angeline Howe,56,1,47,2,1,2,212
Angeline Will,6,3,107,5,5,4,554
Angelique Hegmann,54,1,52,2,1,2,212
Angelique Jacobi,86,1,44,1,1,2,112
Angelita Mertz DVM,89,1,62,1,1,3,113
Angelita Mills,4,8,404,5,5,5,555
Angelo Langosh,84,1,32,1,1,1,111
Angelo Upton DVM,11,1,71,4,1,3,413
Angus Eichmann,81,1,51,1,1,2,112
Angus Goodwin,42,1,20,3,1,1,311
Angus Mitchell,3,12,628,5,5,5,555
Angus Williamson,66,1,57,2,1,2,212
Anie Hettinger,47,2,159,2,4,5,245
Anika Howe,28,2,105,3,4,4,344
Anissa Fritsch,75,1,62,1,1,3,113
Anissa Jewess,15,5,226,4,5,5,455
Anissa Pouros,6,2,68,5,4,3,543
Anissa Rutherford,3,6,283,5,5,5,555
Anita Greenfelder,77,1,54,1,1,2,112
Anita Smitham,32,1,30,3,1,1,311
Aniya Carter,15,2,106,4,4,4,444
Aniya Kuphal PhD,33,2,100,3,4,4,344
Aniya Waters MD,74,1,47,1,1,2,112
Anjanette Adams,37,1,50,3,1,2,312
Anjelica Klocko,33,1,29,3,1,1,311
Ann Dibbert,54,1,68,2,1,3,213
Ann Jacobi PhD,86,1,42,1,1,2,112
Ann Ledner,45,1,24,3,1,1,311
Ann Nienow,55,1,71,2,1,3,213
Annabel Kutch,87,1,34,1,1,1,111
Annabelle Conroy,24,1,58,4,1,2,412
Annabelle Parisian DVM,10,1,29,5,1,1,511
Annabelle Thiel,31,1,22,3,1,1,311
Annalise Abbott DVM,3,2,62,5,4,3,543
Annalise Botsford,18,1,38,4,1,1,411
Annalise Hickle,38,2,124,3,4,5,345
